Date,Open,High,Low,Close,Adj Close,Volume,Label
4/6/20,133.699997,149.690002,129.210007,148.770004,148.770004,51085500,147.330002
4/7/20,162,164.800003,140.259995,141.580002,141.580002,56699100,141
4/8/20,147.509995,154,144.550003,146.869995,146.869995,41351000,145.979996
4/9/20,154.710007,157.979996,150.089996,151.839996,151.839996,38049500,134.240005
4/13/20,155.5,156,146.259995,147.330002,147.330002,26034100,154
4/14/20,150.509995,152.399994,140,141,141,33970500,143.610001
4/15/20,139,148.690002,132.899994,145.979996,145.979996,39297600,136.330002
4/16/20,141.460007,143.240005,134,134.240005,134.240005,41364800,134.970001
4/17/20,149.410004,154,145,154,154,52389400,137.740005
4/20/20,147.210007,151.630005,142.5,143.610001,143.610001,34983800,128.979996
4/21/20,139.009995,141.899994,135.449997,136.330002,136.330002,27043800,128.679993
4/22/20,140.419998,140.820007,134.520004,134.970001,134.970001,22842600,131.300003
4/23/20,136.5,142.380005,136.050003,137.740005,137.740005,25936400,139
4/24/20,137,137.570007,128.330002,128.979996,128.979996,35947700,141.020004
4/27/20,129.970001,131.199997,123.830002,128.679993,128.679993,34563000,133.369995
4/28/20,133.880005,137.199997,127.739998,131.300003,131.300003,37806900,131.460007
4/29/20,138.080002,147.179993,135.25,139,139,60454400,125.400002
4/30/20,137.669998,144.649994,132.309998,141.020004,141.020004,37876600,121.860001
5/1/20,143.229996,143.710007,132.839996,133.369995,133.369995,36613100,128.649994
5/4/20,127.120003,131.5,124.349998,131.460007,131.460007,30708900,133.440002
5/5/20,132.880005,133.800003,125,125.400002,125.400002,30621000,128.910004
5/6/20,125.800003,126.860001,121.370003,121.860001,121.860001,29627700,125.220001
5/7/20,122.809998,130.710007,122.360001,128.649994,128.649994,29525000,121.5
5/8/20,132.570007,135.550003,131.559998,133.440002,133.440002,22739700,122.519997
5/11/20,130.919998,131,127.949997,128.910004,128.910004,20055400,120
5/12/20,129.720001,133.119995,125.199997,125.220001,125.220001,22579000,135.440002
5/13/20,125,125.07,119.330002,121.5,121.5,26002000,130.440002
5/14/20,118.980003,122.610001,113.889999,122.519997,122.519997,37499200,133.320007
5/15/20,118.330002,121.889999,117.779999,120,120,26756800,139
5/18/20,126.18,136.199997,125.800003,135.440002,135.440002,43891500,137.529999
5/19/20,137,137.039993,130.279999,130.440002,130.440002,32373000,144.729996
5/20/20,133.270004,135.449997,131.309998,133.320007,133.320007,21835500,149.520004
5/21/20,137,144.240005,136.149994,139,139,48263900,149.820007
5/22/20,141.009995,141.080002,135.779999,137.529999,137.529999,21098800,145.850006
5/26/20,145.210007,145.910004,142.610001,144.729996,144.729996,30338300,151.389999
5/27/20,149.139999,149.649994,141.240005,149.520004,149.520004,32799900,153.309998
5/28/20,156.100006,156.699997,149.050003,149.820007,149.820007,34734300,173.160004
5/29/20,145.300003,152,142.940002,145.850006,145.850006,33905100,184.300003
6/1/20,145.449997,153.550003,144.550003,151.389999,151.389999,27127300,205.429993
6/2/20,154,155.850006,151.809998,153.309998,153.309998,24780500,230.5
6/3/20,157.100006,173.779999,155.490005,173.160004,173.160004,66486400,216.740005
